 Drosophila Celegans
0 "gi|671162298|ref|NP_001288144.1| unextended, isoform H [Drosophila melanogaster]" "gi|392925573|ref|NP_508521.2| Protein C33D12.2 [Caenorhabditis elegans]"
1275 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392899416|ref|NP_001255298.1| Protein UNC-82, isoform h [Caenorhabditis elegans]"
1276 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392899410|ref|NP_001255295.1| Protein UNC-82, isoform f [Caenorhabditis elegans]"
1277 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900436|ref|NP_001255480.1| Protein UNC-43, isoform r [Caenorhabditis elegans]"
1278 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392896679|ref|NP_499447.2| Protein RSKS-1 [Caenorhabditis elegans]"
1279 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920992|ref|NP_001256394.1| Protein PKC-1, isoform b [Caenorhabditis elegans]"
1280 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920994|ref|NP_001256395.1| Protein PKC-1, isoform a [Caenorhabditis elegans]"
1281 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920996|ref|NP_001256396.1| Protein PKC-1, isoform c [Caenorhabditis elegans]"
1282 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392918121|ref|NP_503159.3| Protein KIN-33, isoform a [Caenorhabditis elegans]"
1283 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392918123|ref|NP_001023760.2| Protein KIN-33, isoform c [Caenorhabditis elegans]"
1284 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392901030|ref|NP_001255604.1| Protein UNC-22, isoform e [Caenorhabditis elegans]"
1285 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392901028|ref|NP_001122835.2| Protein UNC-22, isoform c [Caenorhabditis elegans]"
1286 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922456|ref|NP_001256725.1| Protein DKF-2, isoform f [Caenorhabditis elegans]"
1287 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392901023|ref|NP_001255602.1| Protein UNC-22, isoform g [Caenorhabditis elegans]"
1288 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392901020|ref|NP_001255601.1| Protein UNC-22, isoform f [Caenorhabditis elegans]"
1289 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392901026|ref|NP_001255603.1| Protein UNC-22, isoform d [Caenorhabditis elegans]"
1290 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922454|ref|NP_001256724.1| Protein DKF-2, isoform e [Caenorhabditis elegans]"
1291 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392892180|ref|NP_001254363.1| Protein MAX-2, isoform d [Caenorhabditis elegans]"
1292 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922458|ref|NP_001256726.1| Protein DKF-2, isoform d [Caenorhabditis elegans]"
1293 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900822|ref|NP_001255552.1| Protein KIN-4, isoform c [Caenorhabditis elegans]"
1294 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900820|ref|NP_001255551.1| Protein KIN-4, isoform g [Caenorhabditis elegans]"
1295 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900828|ref|NP_001255555.1| Protein KIN-4, isoform f [Caenorhabditis elegans]"
1296 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392927074|ref|NP_001257101.1| Protein PKN-1, isoform b [Caenorhabditis elegans]"
1297 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900824|ref|NP_001255553.1| Protein KIN-4, isoform d [Caenorhabditis elegans]"
1298 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900826|ref|NP_001255554.1| Protein KIN-4, isoform e [Caenorhabditis elegans]"
1299 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900832|ref|NP_001255557.1| Protein KIN-4, isoform a [Caenorhabditis elegans]"
1300 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922674|ref|NP_001256780.1| Protein PAR-4, isoform b [Caenorhabditis elegans]"
1301 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392927076|ref|NP_001257102.1| Protein PKN-1, isoform a [Caenorhabditis elegans]"
1302 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922672|ref|NP_001256779.1| Protein PAR-4, isoform c [Caenorhabditis elegans]"
1303 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392922670|ref|NP_001256778.1| Protein PAR-4, isoform a [Caenorhabditis elegans]"
1304 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900834|ref|NP_001255558.1| Protein KIN-4, isoform b [Caenorhabditis elegans]"
1305 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900830|ref|NP_001255556.1| Protein KIN-4, isoform h [Caenorhabditis elegans]"
1306 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
1307 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
1308 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
1309 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
1310 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
1311 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
1312 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|453231952|ref|NP_001263706.1| Protein PRK-1, isoform d [Caenorhabditis elegans]"
1313 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900324|ref|NP_001255459.1| Protein FRK-1, isoform a [Caenorhabditis elegans]"
1314 "gi|665401967|ref|NP_001097370.2| Salt-inducible kinase 3, isoform E [Drosophila melanogaster]" "gi|392900322|ref|NP_001255458.1| Protein FRK-1, isoform b [Caenorhabditis elegans]"
1315 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392921746|ref|NP_001256561.1| Protein PAR-1, isoform g [Caenorhabditis elegans]"
1316 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392921754|ref|NP_001256565.1| Protein PAR-1, isoform e [Caenorhabditis elegans]"
1317 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392921742|ref|NP_001256559.1| Protein PAR-1, isoform f [Caenorhabditis elegans]"
1318 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392921744|ref|NP_001256560.1| Protein PAR-1, isoform j [Caenorhabditis elegans]"
1319 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392921738|ref|NP_001122967.2| Protein PAR-1, isoform d [Caenorhabditis elegans]"
1320 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899406|ref|NP_001255294.1| Protein UNC-82, isoform e [Caenorhabditis elegans]"
1321 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899418|ref|NP_501185.5| Protein UNC-82, isoform a [Caenorhabditis elegans]"
1322 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899412|ref|NP_001255296.1| Protein UNC-82, isoform d [Caenorhabditis elegans]"
1323 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899408|ref|NP_501186.5| Protein UNC-82, isoform b [Caenorhabditis elegans]"
1324 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899416|ref|NP_001255298.1| Protein UNC-82, isoform h [Caenorhabditis elegans]"
1325 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899410|ref|NP_001255295.1| Protein UNC-82, isoform f [Caenorhabditis elegans]"
1326 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392899414|ref|NP_001255297.1| Protein UNC-82, isoform g [Caenorhabditis elegans]"
1327 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900436|ref|NP_001255480.1| Protein UNC-43, isoform r [Caenorhabditis elegans]"
1328 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392896679|ref|NP_499447.2| Protein RSKS-1 [Caenorhabditis elegans]"
1329 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920992|ref|NP_001256394.1| Protein PKC-1, isoform b [Caenorhabditis elegans]"
1330 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920994|ref|NP_001256395.1| Protein PKC-1, isoform a [Caenorhabditis elegans]"
1331 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920996|ref|NP_001256396.1| Protein PKC-1, isoform c [Caenorhabditis elegans]"
1332 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392918121|ref|NP_503159.3| Protein KIN-33, isoform a [Caenorhabditis elegans]"
1333 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392918123|ref|NP_001023760.2| Protein KIN-33, isoform c [Caenorhabditis elegans]"
1334 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922456|ref|NP_001256725.1| Protein DKF-2, isoform f [Caenorhabditis elegans]"
1335 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392901030|ref|NP_001255604.1| Protein UNC-22, isoform e [Caenorhabditis elegans]"
1336 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392901028|ref|NP_001122835.2| Protein UNC-22, isoform c [Caenorhabditis elegans]"
1337 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922454|ref|NP_001256724.1| Protein DKF-2, isoform e [Caenorhabditis elegans]"
1338 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392901026|ref|NP_001255603.1| Protein UNC-22, isoform d [Caenorhabditis elegans]"
1339 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392901020|ref|NP_001255601.1| Protein UNC-22, isoform f [Caenorhabditis elegans]"
1340 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392901023|ref|NP_001255602.1| Protein UNC-22, isoform g [Caenorhabditis elegans]"
1341 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392892180|ref|NP_001254363.1| Protein MAX-2, isoform d [Caenorhabditis elegans]"
1342 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922458|ref|NP_001256726.1| Protein DKF-2, isoform d [Caenorhabditis elegans]"
1343 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900822|ref|NP_001255552.1| Protein KIN-4, isoform c [Caenorhabditis elegans]"
1344 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900820|ref|NP_001255551.1| Protein KIN-4, isoform g [Caenorhabditis elegans]"
1345 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900824|ref|NP_001255553.1| Protein KIN-4, isoform d [Caenorhabditis elegans]"
1346 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392927074|ref|NP_001257101.1| Protein PKN-1, isoform b [Caenorhabditis elegans]"
1347 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900828|ref|NP_001255555.1| Protein KIN-4, isoform f [Caenorhabditis elegans]"
1348 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900826|ref|NP_001255554.1| Protein KIN-4, isoform e [Caenorhabditis elegans]"
1349 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922672|ref|NP_001256779.1| Protein PAR-4, isoform c [Caenorhabditis elegans]"
1350 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922674|ref|NP_001256780.1| Protein PAR-4, isoform b [Caenorhabditis elegans]"
1351 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392922670|ref|NP_001256778.1| Protein PAR-4, isoform a [Caenorhabditis elegans]"
1352 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900832|ref|NP_001255557.1| Protein KIN-4, isoform a [Caenorhabditis elegans]"
1353 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392927076|ref|NP_001257102.1| Protein PKN-1, isoform a [Caenorhabditis elegans]"
1354 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900834|ref|NP_001255558.1| Protein KIN-4, isoform b [Caenorhabditis elegans]"
1355 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900830|ref|NP_001255556.1| Protein KIN-4, isoform h [Caenorhabditis elegans]"
1356 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
1357 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
1358 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
1359 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
1360 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
1361 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|453231952|ref|NP_001263706.1| Protein PRK-1, isoform d [Caenorhabditis elegans]"
1362 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
1363 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900324|ref|NP_001255459.1| Protein FRK-1, isoform a [Caenorhabditis elegans]"
1364 "gi|665401965|ref|NP_001286587.1| Salt-inducible kinase 3, isoform D [Drosophila melanogaster]" "gi|392900322|ref|NP_001255458.1| Protein FRK-1, isoform b [Caenorhabditis elegans]"
1365 "gi|665401932|ref|NP_001286578.1| Eip55E, isoform B [Drosophila melanogaster]" "gi|453232628|ref|NP_001263906.1| Protein CTH-1, isoform b [Caenorhabditis elegans]"
1366 "gi|665401916|ref|NP_611343.4| guanine nucleotide exchange factor in mesoderm, isoform G [Drosophila melanogaster]" "gi|392921437|ref|NP_001256492.1| Protein UIG-1, isoform e [Caenorhabditis elegans]"
1367 "gi|665401916|ref|NP_611343.4| guanine nucleotide exchange factor in mesoderm, isoform G [Drosophila melanogaster]" "gi|392921435|ref|NP_001256491.1| Protein UIG-1, isoform a [Caenorhabditis elegans]"
1368 "gi|665401916|ref|NP_611343.4| guanine nucleotide exchange factor in mesoderm, isoform G [Drosophila melanogaster]" "gi|392921433|ref|NP_001256490.1| Protein UIG-1, isoform d [Caenorhabditis elegans]"
1369 "gi|665401916|ref|NP_611343.4| guanine nucleotide exchange factor in mesoderm, isoform G [Drosophila melanogaster]" "gi|392921431|ref|NP_001256489.1| Protein UIG-1, isoform b [Caenorhabditis elegans]"
1370 "gi|665401916|ref|NP_611343.4| guanine nucleotide exchange factor in mesoderm, isoform G [Drosophila melanogaster]" "gi|392921429|ref|NP_001256488.1| Protein UIG-1, isoform c [Caenorhabditis elegans]"
1371 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
1372 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
1373 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
1374 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
1375 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
1376 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
1377 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
1378 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
1379 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
1380 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
1381 "gi|665401764|ref|NP_001286554.1| protein phosphatase Y at 55A, isoform B [Drosophila melanogaster]" "gi|392899343|ref|NP_501110.3| Protein ZC477.10 [Caenorhabditis elegans]"
1382 "gi|665401740|ref|NP_001286550.1| double hit, isoform C [Drosophila melanogaster]" "gi|392927633|ref|NP_001257199.1| Protein RGS-2, isoform d [Caenorhabditis elegans]"
1383 "gi|665401740|ref|NP_001286550.1| double hit, isoform C [Drosophila melanogaster]" "gi|392896343|ref|NP_001255057.1| Protein RGS-1, isoform a [Caenorhabditis elegans]"
1384 "gi|665401740|ref|NP_001286550.1| double hit, isoform C [Drosophila melanogaster]" "gi|392896341|ref|NP_001255056.1| Protein RGS-1, isoform b [Caenorhabditis elegans]"
1385 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|453231794|ref|NP_741019.3| Protein UNC-104, isoform a [Caenorhabditis elegans]"
1386 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|453231792|ref|NP_001022041.2| Protein UNC-104, isoform b [Caenorhabditis elegans]"
1387 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|392921856|ref|NP_001256587.1| Protein BMK-1, isoform b [Caenorhabditis elegans]"
1388 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|392921854|ref|NP_001256586.1| Protein BMK-1, isoform a [Caenorhabditis elegans]"
1389 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|392899779|ref|NP_001255329.1| Protein KLP-11, isoform e [Caenorhabditis elegans]"
1390 "gi|665401719|ref|NP_001286548.1| subito, isoform B [Drosophila melanogaster]" "gi|392926164|ref|NP_001257034.1| Protein KLP-13, isoform c [Caenorhabditis elegans]"
1391 "gi|665401663|ref|NP_001286540.1| Dicer-2, isoform B [Drosophila melanogaster]" "gi|392895692|ref|NP_498761.2| Protein DCR-1 [Caenorhabditis elegans]"
1392 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|392899779|ref|NP_001255329.1| Protein KLP-11, isoform e [Caenorhabditis elegans]"
1393 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|453231792|ref|NP_001022041.2| Protein UNC-104, isoform b [Caenorhabditis elegans]"
1394 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|453231794|ref|NP_741019.3| Protein UNC-104, isoform a [Caenorhabditis elegans]"
1395 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|392921854|ref|NP_001256586.1| Protein BMK-1, isoform a [Caenorhabditis elegans]"
1396 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|392921856|ref|NP_001256587.1| Protein BMK-1, isoform b [Caenorhabditis elegans]"
1397 "gi|665401649|ref|NP_001286539.1| Kinesin-like protein at 54D, isoform C [Drosophila melanogaster]" "gi|392926164|ref|NP_001257034.1| Protein KLP-13, isoform c [Caenorhabditis elegans]"
1398 "gi|665401550|ref|NP_001286519.1| chitin deacetylase-like 9, isoform B [Drosophila melanogaster]" "gi|392926072|ref|NP_741795.2| Protein LGX-1, isoform a [Caenorhabditis elegans]"
1399 "gi|665401468|ref|NP_001286506.1| elongation factor 1 beta, isoform C [Drosophila melanogaster]" "gi|392901950|ref|NP_001255851.1| Protein EEF-1B.2, isoform d [Caenorhabditis elegans]"
1400 "gi|665401468|ref|NP_001286506.1| elongation factor 1 beta, isoform C [Drosophila melanogaster]" "gi|392901952|ref|NP_001255852.1| Protein EEF-1B.2, isoform c [Caenorhabditis elegans]"
1401 "gi|665401411|ref|NP_001286497.1| picot, isoform D [Drosophila melanogaster]" "gi|392922343|ref|NP_507089.2| Protein F11A5.9 [Caenorhabditis elegans]"
1402 "gi|665401411|ref|NP_001286497.1| picot, isoform D [Drosophila melanogaster]" "gi|392891197|ref|NP_001254210.1| Protein Y51B9A.6, isoform a [Caenorhabditis elegans]"
1403 "gi|665401411|ref|NP_001286497.1| picot, isoform D [Drosophila melanogaster]" "gi|392891199|ref|NP_001254211.1| Protein Y51B9A.6, isoform b [Caenorhabditis elegans]"
1404 "gi|665401411|ref|NP_001286497.1| picot, isoform D [Drosophila melanogaster]" "gi|392891932|ref|NP_001254321.1| Protein T27D12.1, isoform a [Caenorhabditis elegans]"
1405 "gi|665401411|ref|NP_001286497.1| picot, isoform D [Drosophila melanogaster]" "gi|392891930|ref|NP_001254320.1| Protein T27D12.1, isoform b [Caenorhabditis elegans]"
1406 "gi|665401409|ref|NP_001286496.1| picot, isoform C [Drosophila melanogaster]" "gi|392922343|ref|NP_507089.2| Protein F11A5.9 [Caenorhabditis elegans]"
1407 "gi|665401409|ref|NP_001286496.1| picot, isoform C [Drosophila melanogaster]" "gi|392891197|ref|NP_001254210.1| Protein Y51B9A.6, isoform a [Caenorhabditis elegans]"
1408 "gi|665401409|ref|NP_001286496.1| picot, isoform C [Drosophila melanogaster]" "gi|392891199|ref|NP_001254211.1| Protein Y51B9A.6, isoform b [Caenorhabditis elegans]"
1409 "gi|665401409|ref|NP_001286496.1| picot, isoform C [Drosophila melanogaster]" "gi|392891932|ref|NP_001254321.1| Protein T27D12.1, isoform a [Caenorhabditis elegans]"
1410 "gi|665401409|ref|NP_001286496.1| picot, isoform C [Drosophila melanogaster]" "gi|392891930|ref|NP_001254320.1| Protein T27D12.1, isoform b [Caenorhabditis elegans]"
1411 "gi|665401398|ref|NP_001286494.1| Cyclin-dependent kinase 4, isoform E [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
1412 "gi|665401398|ref|NP_001286494.1| Cyclin-dependent kinase 4, isoform E [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
1413 "gi|665401398|ref|NP_001286494.1| Cyclin-dependent kinase 4, isoform E [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
